1745965525.007824 - {'icao24': 'ae4fe5', 'callsign': 'SHWK415 ', 'origin_country': 'United States', 'time_position': 1745965509, 'last_contact': 1745965511, 'longitude': -117.2071, 'latitude': 32.695, 'baro_altitude': 114.3, 'on_ground': False, 'velocity': 34.33, 'heading': 299.64, 'vertical_rate': -5.53, 'sensors': None, 'geo_altitude': 121.92, 'squawk': None, 'spi': False, 'position_source': 0}
1745965530.6236439 - {'icao24': 'ae4fe5', 'callsign': 'SHWK415 ', 'origin_country': 'United States', 'time_position': 1745965521, 'last_contact': 1745965522, 'longitude': -117.2106, 'latitude': 32.6965, 'baro_altitude': 76.2, 'on_ground': False, 'velocity': 36.58, 'heading': 273.22, 'vertical_rate': -3.25, 'sensors': None, 'geo_altitude': 83.82, 'squawk': None, 'spi': False, 'position_source': 0}
1745965536.12315 - {'icao24': 'ab05c3', 'callsign': 'N80906  ', 'origin_country': 'United States', 'time_position': 1745965534, 'last_contact': 1745965534, 'longitude': -117.134, 'latitude': 32.7922, 'baro_altitude': 457.2, 'on_ground': False, 'velocity': 47.72, 'heading': 101.19, 'vertical_rate': -1.95, 'sensors': None, 'geo_altitude': 449.58, 'squawk': None, 'spi': False, 'position_source': 0}
1745965536.123473 - {'icao24': 'ae4fe5', 'callsign': 'SHWK415 ', 'origin_country': 'United States', 'time_position': 1745965521, 'last_contact': 1745965522, 'longitude': -117.2106, 'latitude': 32.6965, 'baro_altitude': 76.2, 'on_ground': False, 'velocity': 36.58, 'heading': 273.22, 'vertical_rate': -3.25, 'sensors': None, 'geo_altitude': 83.82, 'squawk': None, 'spi': False, 'position_source': 0}
1745974677.730763 - {'icao24': 'a868d2', 'callsign': 'N6409D  ', 'origin_country': 'United States', 'time_position': 1745974672, 'last_contact': 1745974672, 'longitude': -117.1353, 'latitude': 32.7974, 'baro_altitude': 411.48, 'on_ground': False, 'velocity': 54.3, 'heading': 117.05, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 381, 'squawk': None, 'spi': False, 'position_source': 0}
1745974677.732743 - {'icao24': 'a708b0', 'callsign': 'AAL1890 ', 'origin_country': 'United States', 'time_position': 1745974663, 'last_contact': 1745974670, 'longitude': -117.1651, 'latitude': 32.7277, 'baro_altitude': 83.82, 'on_ground': False, 'velocity': 78.01, 'heading': 285.69, 'vertical_rate': -5.2, 'sensors': None, 'geo_altitude': 83.82, 'squawk': '0542', 'spi': False, 'position_source': 0}
1745974677.732784 - {'icao24': 'a72c32', 'callsign': 'N738ZY  ', 'origin_country': 'United States', 'time_position': 1745974672, 'last_contact': 1745974672, 'longitude': -117.1057, 'latitude': 32.7899, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 37.55, 'heading': 41.11, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 327.66, 'squawk': None, 'spi': False, 'position_source': 0}
1745974683.4779541 - {'icao24': 'a708b0', 'callsign': 'AAL1890 ', 'origin_country': 'United States', 'time_position': 1745974663, 'last_contact': 1745974666, 'longitude': -117.1651, 'latitude': 32.7277, 'baro_altitude': 83.82, 'on_ground': False, 'velocity': 77.38, 'heading': 285.42, 'vertical_rate': -4.88, 'sensors': None, 'geo_altitude': 83.82, 'squawk': '0542', 'spi': False, 'position_source': 0}
1745974689.379723 - {'icao24': 'a708b0', 'callsign': 'AAL1890 ', 'origin_country': 'United States', 'time_position': 1745974663, 'last_contact': 1745974678, 'longitude': -117.1651, 'latitude': 32.7277, 'baro_altitude': 83.82, 'on_ground': False, 'velocity': 78.15, 'heading': 286.05, 'vertical_rate': -4.23, 'sensors': None, 'geo_altitude': 83.82, 'squawk': '0542', 'spi': False, 'position_source': 0}
1745974689.379925 - {'icao24': 'a72c32', 'callsign': 'N738ZY  ', 'origin_country': 'United States', 'time_position': 1745974682, 'last_contact': 1745974682, 'longitude': -117.1042, 'latitude': 32.7933, 'baro_altitude': 304.8, 'on_ground': False, 'velocity': 40.17, 'heading': 9.58, 'vertical_rate': -2.93, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
1745974706.2207701 - {'icao24': 'a72c32', 'callsign': 'N738ZY  ', 'origin_country': 'United States', 'time_position': 1745974703, 'last_contact': 1745974703, 'longitude': -117.1062, 'latitude': 32.7995, 'baro_altitude': 243.84, 'on_ground': False, 'velocity': 33.83, 'heading': 314.38, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
1745974711.880644 - {'icao24': 'a72c32', 'callsign': 'N738ZY  ', 'origin_country': 'United States', 'time_position': 1745974703, 'last_contact': 1745974703, 'longitude': -117.1062, 'latitude': 32.7995, 'baro_altitude': 243.84, 'on_ground': False, 'velocity': 33.83, 'heading': 314.38, 'vertical_rate': -1.63, 'sensors': None, 'geo_altitude': 289.56, 'squawk': None, 'spi': False, 'position_source': 0}
1745974730.2496698 - {'icao24': 'ad4584', 'callsign': 'SWA3442 ', 'origin_country': 'United States', 'time_position': 1745974723, 'last_contact': 1745974723, 'longitude': -117.0104, 'latitude': 32.69, 'baro_altitude': 1021.08, 'on_ground': False, 'velocity': 106.99, 'heading': 285.91, 'vertical_rate': -6.83, 'sensors': None, 'geo_altitude': 1043.94, 'squawk': '7050', 'spi': False, 'position_source': 0}
1745974735.811373 - {'icao24': 'ad4584', 'callsign': 'SWA3442 ', 'origin_country': 'United States', 'time_position': 1745974723, 'last_contact': 1745974723, 'longitude': -117.0104, 'latitude': 32.69, 'baro_altitude': 1021.08, 'on_ground': False, 'velocity': 106.99, 'heading': 285.91, 'vertical_rate': -6.83, 'sensors': None, 'geo_altitude': 1043.94, 'squawk': '7050', 'spi': False, 'position_source': 0}
1746052371.4887218 - {'icao24': '3c6718', 'callsign': 'DLH5Y   ', 'origin_country': 'Germany', 'time_position': 1746052199, 'last_contact': 1746052225, 'longitude': -117.1243, 'latitude': 32.7178, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 65.02, 'heading': 285.14, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 320.04, 'squawk': '3302', 'spi': False, 'position_source': 0}
1746052371.489481 - {'icao24': 'a0ec4d', 'callsign': 'JAS3    ', 'origin_country': 'United States', 'time_position': 1746052146, 'last_contact': 1746052150, 'longitude': -117.1237, 'latitude': 32.7176, 'baro_altitude': 335.28, 'on_ground': False, 'velocity': 60.56, 'heading': 286.28, 'vertical_rate': -3.9, 'sensors': None, 'geo_altitude': 312.42, 'squawk': '1536', 'spi': False, 'position_source': 0}
1746052371.489643 - {'icao24': 'a4bd24', 'callsign': 'SKW3383 ', 'origin_country': 'United States', 'time_position': 1746052362, 'last_contact': 1746052362, 'longitude': -117.0833, 'latitude': 32.7923, 'baro_altitude': 1889.76, 'on_ground': False, 'velocity': 126.07, 'heading': 129.54, 'vertical_rate': -4.55, 'sensors': None, 'geo_altitude': 1927.86, 'squawk': '4763', 'spi': False, 'position_source': 0}
