1745974711.88055 - {'icao24': 'a3d42b', 'callsign': 'LXJ346  ', 'origin_country': 'United States', 'time_position': 1745974703, 'last_contact': 1745974703, 'longitude': -117.2866, 'latitude': 32.7836, 'baro_altitude': 2362.2, 'on_ground': False, 'velocity': 126.62, 'heading': 301.88, 'vertical_rate': 22.76, 'sensors': None, 'geo_altitude': 2415.54, 'squawk': None, 'spi': False, 'position_source': 0}
1745974717.46358 - {'icao24': 'a3d42b', 'callsign': 'LXJ346  ', 'origin_country': 'United States', 'time_position': 1745974713, 'last_contact': 1745974713, 'longitude': -117.2982, 'latitude': 32.7895, 'baro_altitude': 2583.18, 'on_ground': False, 'velocity': 128.81, 'heading': 301.28, 'vertical_rate': 23.08, 'sensors': None, 'geo_altitude': 2644.14, 'squawk': None, 'spi': False, 'position_source': 0}
1745974723.328327 - {'icao24': 'a3d42b', 'callsign': 'LXJ346  ', 'origin_country': 'United States', 'time_position': 1745974713, 'last_contact': 1745974713, 'longitude': -117.2982, 'latitude': 32.7895, 'baro_altitude': 2583.18, 'on_ground': False, 'velocity': 128.81, 'heading': 301.28, 'vertical_rate': 23.08, 'sensors': None, 'geo_altitude': 2644.14, 'squawk': None, 'spi': False, 'position_source': 0}
1746052371.489706 - {'icao24': 'ae1dd5', 'callsign': '', 'origin_country': 'United States', 'time_position': 1746052361, 'last_contact': 1746052361, 'longitude': -117.2202, 'latitude': 32.7062, 'baro_altitude': 99.06, 'on_ground': False, 'velocity': 37.41, 'heading': 301.5, 'vertical_rate': 2.93, 'sensors': None, 'geo_altitude': 76.2, 'squawk': None, 'spi': False, 'position_source': 0}
1746052371.490046 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052362, 'last_contact': 1746052362, 'longitude': -117.2821, 'latitude': 32.655, 'baro_altitude': 3436.62, 'on_ground': False, 'velocity': 146.32, 'heading': 127.72, 'vertical_rate': 12.68, 'sensors': None, 'geo_altitude': 3505.2, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052376.979342 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052372, 'last_contact': 1746052372, 'longitude': -117.2698, 'latitude': 32.647, 'baro_altitude': 3566.16, 'on_ground': False, 'velocity': 148.9, 'heading': 127.7, 'vertical_rate': 14.96, 'sensors': None, 'geo_altitude': 3634.74, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052459.009727 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052450, 'last_contact': 1746052450, 'longitude': -117.2191, 'latitude': 32.741, 'baro_altitude': 441.96, 'on_ground': False, 'velocity': 84.92, 'heading': 288, 'vertical_rate': 9.75, 'sensors': None, 'geo_altitude': 426.72, 'squawk': None, 'spi': False, 'position_source': 0}
1746052459.010135 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052450, 'last_contact': 1746052450, 'longitude': -117.2033, 'latitude': 32.6928, 'baro_altitude': 121.92, 'on_ground': False, 'velocity': 65.99, 'heading': 300.96, 'vertical_rate': 2.93, 'sensors': None, 'geo_altitude': 83.82, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052459.010792 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052450, 'last_contact': 1746052450, 'longitude': -117.1394, 'latitude': 32.6219, 'baro_altitude': 4282.44, 'on_ground': False, 'velocity': 190.34, 'heading': 94.18, 'vertical_rate': 4.88, 'sensors': None, 'geo_altitude': 4381.5, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052464.57662 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052458, 'last_contact': 1746052458, 'longitude': -117.2265, 'latitude': 32.743, 'baro_altitude': 502.92, 'on_ground': False, 'velocity': 91.12, 'heading': 287.41, 'vertical_rate': 4.23, 'sensors': None, 'geo_altitude': 480.06, 'squawk': None, 'spi': False, 'position_source': 0}
1746052464.577002 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052459, 'last_contact': 1746052459, 'longitude': -117.2086, 'latitude': 32.6954, 'baro_altitude': 167.64, 'on_ground': False, 'velocity': 67.01, 'heading': 298.93, 'vertical_rate': 8.78, 'sensors': None, 'geo_altitude': 152.4, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052464.577038 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052458, 'last_contact': 1746052458, 'longitude': -117.1242, 'latitude': 32.6215, 'baro_altitude': 4351.02, 'on_ground': False, 'velocity': 193.43, 'heading': 89.7, 'vertical_rate': 13.66, 'sensors': None, 'geo_altitude': 4450.08, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052470.072482 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052458, 'last_contact': 1746052458, 'longitude': -117.2265, 'latitude': 32.743, 'baro_altitude': 502.92, 'on_ground': False, 'velocity': 91.12, 'heading': 287.41, 'vertical_rate': 4.23, 'sensors': None, 'geo_altitude': 480.06, 'squawk': None, 'spi': False, 'position_source': 0}
1746052470.0725608 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052459, 'last_contact': 1746052459, 'longitude': -117.2086, 'latitude': 32.6954, 'baro_altitude': 167.64, 'on_ground': False, 'velocity': 67.01, 'heading': 298.93, 'vertical_rate': 8.78, 'sensors': None, 'geo_altitude': 152.4, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052470.07259 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052458, 'last_contact': 1746052458, 'longitude': -117.1242, 'latitude': 32.6215, 'baro_altitude': 4351.02, 'on_ground': False, 'velocity': 193.43, 'heading': 89.7, 'vertical_rate': 13.66, 'sensors': None, 'geo_altitude': 4450.08, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052475.56807 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052472, 'last_contact': 1746052472, 'longitude': -117.241, 'latitude': 32.7465, 'baro_altitude': 563.88, 'on_ground': False, 'velocity': 106.85, 'heading': 285.64, 'vertical_rate': 5.53, 'sensors': None, 'geo_altitude': 541.02, 'squawk': None, 'spi': False, 'position_source': 0}
1746052475.568633 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052472, 'last_contact': 1746052472, 'longitude': -117.2182, 'latitude': 32.6959, 'baro_altitude': 259.08, 'on_ground': False, 'velocity': 70.41, 'heading': 248.12, 'vertical_rate': 7.48, 'sensors': None, 'geo_altitude': 236.22, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052475.568769 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052472, 'last_contact': 1746052472, 'longitude': -117.0944, 'latitude': 32.6229, 'baro_altitude': 4549.14, 'on_ground': False, 'velocity': 196.69, 'heading': 85.2, 'vertical_rate': 14.31, 'sensors': None, 'geo_altitude': 4655.82, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052481.0670872 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052472, 'last_contact': 1746052472, 'longitude': -117.241, 'latitude': 32.7465, 'baro_altitude': 563.88, 'on_ground': False, 'velocity': 106.85, 'heading': 285.64, 'vertical_rate': 5.53, 'sensors': None, 'geo_altitude': 541.02, 'squawk': None, 'spi': False, 'position_source': 0}
1746052481.067519 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052472, 'last_contact': 1746052472, 'longitude': -117.2182, 'latitude': 32.6959, 'baro_altitude': 259.08, 'on_ground': False, 'velocity': 70.41, 'heading': 248.12, 'vertical_rate': 7.48, 'sensors': None, 'geo_altitude': 236.22, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052481.067598 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052472, 'last_contact': 1746052472, 'longitude': -117.0944, 'latitude': 32.6229, 'baro_altitude': 4549.14, 'on_ground': False, 'velocity': 196.69, 'heading': 85.2, 'vertical_rate': 14.31, 'sensors': None, 'geo_altitude': 4655.82, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052486.646946 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052482, 'last_contact': 1746052482, 'longitude': -117.2519, 'latitude': 32.7491, 'baro_altitude': 685.8, 'on_ground': False, 'velocity': 109.46, 'heading': 285.54, 'vertical_rate': 17.56, 'sensors': None, 'geo_altitude': 662.94, 'squawk': None, 'spi': False, 'position_source': 0}
1746052486.647111 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052483, 'last_contact': 1746052483, 'longitude': -117.2243, 'latitude': 32.6918, 'baro_altitude': 342.9, 'on_ground': False, 'velocity': 75.85, 'heading': 218.11, 'vertical_rate': 3.25, 'sensors': None, 'geo_altitude': 327.66, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052486.6471748 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052482, 'last_contact': 1746052482, 'longitude': -117.0737, 'latitude': 32.6243, 'baro_altitude': 4663.44, 'on_ground': False, 'velocity': 200.16, 'heading': 85.73, 'vertical_rate': 11.38, 'sensors': None, 'geo_altitude': 4770.12, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052492.153331 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052489, 'longitude': -117.2594, 'latitude': 32.7509, 'baro_altitude': 815.34, 'on_ground': False, 'velocity': 107.98, 'heading': 285.76, 'vertical_rate': 20.48, 'sensors': None, 'geo_altitude': 800.1, 'squawk': None, 'spi': False, 'position_source': 0}
1746052492.1538901 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052490, 'longitude': -117.2266, 'latitude': 32.6876, 'baro_altitude': 373.38, 'on_ground': False, 'velocity': 81.41, 'heading': 196.14, 'vertical_rate': 2.93, 'sensors': None, 'geo_altitude': 350.52, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052492.154001 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052489, 'longitude': -117.058, 'latitude': 32.6252, 'baro_altitude': 4762.5, 'on_ground': False, 'velocity': 201.15, 'heading': 85.89, 'vertical_rate': 15.28, 'sensors': None, 'geo_altitude': 4869.18, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052497.743843 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052489, 'longitude': -117.2594, 'latitude': 32.7509, 'baro_altitude': 815.34, 'on_ground': False, 'velocity': 107.98, 'heading': 285.76, 'vertical_rate': 20.48, 'sensors': None, 'geo_altitude': 800.1, 'squawk': None, 'spi': False, 'position_source': 0}
1746052497.744043 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052490, 'longitude': -117.2266, 'latitude': 32.6876, 'baro_altitude': 373.38, 'on_ground': False, 'velocity': 81.41, 'heading': 196.14, 'vertical_rate': 2.93, 'sensors': None, 'geo_altitude': 350.52, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052497.744237 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052489, 'longitude': -117.058, 'latitude': 32.6252, 'baro_altitude': 4762.5, 'on_ground': False, 'velocity': 201.15, 'heading': 85.89, 'vertical_rate': 15.28, 'sensors': None, 'geo_altitude': 4869.18, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052503.30749 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052489, 'longitude': -117.2594, 'latitude': 32.7509, 'baro_altitude': 815.34, 'on_ground': False, 'velocity': 107.98, 'heading': 285.76, 'vertical_rate': 20.48, 'sensors': None, 'geo_altitude': 800.1, 'squawk': None, 'spi': False, 'position_source': 0}
1746052503.307894 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052490, 'longitude': -117.2266, 'latitude': 32.6876, 'baro_altitude': 373.38, 'on_ground': False, 'velocity': 81.41, 'heading': 196.14, 'vertical_rate': 2.93, 'sensors': None, 'geo_altitude': 350.52, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052503.307966 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052489, 'last_contact': 1746052489, 'longitude': -117.058, 'latitude': 32.6252, 'baro_altitude': 4762.5, 'on_ground': False, 'velocity': 201.15, 'heading': 85.89, 'vertical_rate': 15.28, 'sensors': None, 'geo_altitude': 4869.18, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052508.8863502 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052502, 'last_contact': 1746052502, 'longitude': -117.2743, 'latitude': 32.7545, 'baro_altitude': 1059.18, 'on_ground': False, 'velocity': 110.1, 'heading': 285.72, 'vertical_rate': 14.96, 'sensors': None, 'geo_altitude': 1043.94, 'squawk': '7351', 'spi': False, 'position_source': 0}
1746052508.886577 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052502, 'last_contact': 1746052502, 'longitude': -117.0305, 'latitude': 32.6269, 'baro_altitude': 4937.76, 'on_ground': False, 'velocity': 203.72, 'heading': 85.95, 'vertical_rate': 13.33, 'sensors': None, 'geo_altitude': 5059.68, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052518.3933141 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052512, 'last_contact': 1746052512, 'longitude': -117.2861, 'latitude': 32.7572, 'baro_altitude': 1165.86, 'on_ground': False, 'velocity': 118.8, 'heading': 285.06, 'vertical_rate': 8.78, 'sensors': None, 'geo_altitude': 1150.62, 'squawk': '7351', 'spi': False, 'position_source': 0}
1746052518.393978 - {'icao24': 'ae4fcf', 'callsign': 'ST710   ', 'origin_country': 'United States', 'time_position': 1746052512, 'last_contact': 1746052513, 'longitude': -117.1394, 'latitude': 32.6654, 'baro_altitude': 76.2, 'on_ground': False, 'velocity': 35.19, 'heading': 307.87, 'vertical_rate': 1.63, 'sensors': None, 'geo_altitude': 60.96, 'squawk': None, 'spi': False, 'position_source': 0}
1746052518.394073 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052512, 'last_contact': 1746052512, 'longitude': -117.0091, 'latitude': 32.6281, 'baro_altitude': 5082.54, 'on_ground': False, 'velocity': 205.25, 'heading': 85.98, 'vertical_rate': 15.28, 'sensors': None, 'geo_altitude': 5204.46, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052523.893541 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052512, 'last_contact': 1746052512, 'longitude': -117.2861, 'latitude': 32.7572, 'baro_altitude': 1165.86, 'on_ground': False, 'velocity': 118.8, 'heading': 285.06, 'vertical_rate': 8.78, 'sensors': None, 'geo_altitude': 1150.62, 'squawk': '7351', 'spi': False, 'position_source': 0}
1746052523.8938801 - {'icao24': 'ae4fcf', 'callsign': 'ST710   ', 'origin_country': 'United States', 'time_position': 1746052512, 'last_contact': 1746052513, 'longitude': -117.1394, 'latitude': 32.6654, 'baro_altitude': 76.2, 'on_ground': False, 'velocity': 35.19, 'heading': 307.87, 'vertical_rate': 1.63, 'sensors': None, 'geo_altitude': 60.96, 'squawk': None, 'spi': False, 'position_source': 0}
1746052523.8939662 - {'icao24': 'a717b6', 'callsign': 'SWA2784 ', 'origin_country': 'United States', 'time_position': 1746052512, 'last_contact': 1746052512, 'longitude': -117.0091, 'latitude': 32.6281, 'baro_altitude': 5082.54, 'on_ground': False, 'velocity': 205.25, 'heading': 85.98, 'vertical_rate': 15.28, 'sensors': None, 'geo_altitude': 5204.46, 'squawk': '7347', 'spi': False, 'position_source': 0}
1746052529.471877 - {'icao24': 'aa7e16', 'callsign': 'SWA3677 ', 'origin_country': 'United States', 'time_position': 1746052522, 'last_contact': 1746052522, 'longitude': -117.2984, 'latitude': 32.76, 'baro_altitude': 1295.4, 'on_ground': False, 'velocity': 123.04, 'heading': 285.02, 'vertical_rate': 15.61, 'sensors': None, 'geo_altitude': 1295.4, 'squawk': '7351', 'spi': False, 'position_source': 0}
1746052583.776451 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052582, 'last_contact': 1746052582, 'longitude': -117.1889, 'latitude': 32.6777, 'baro_altitude': 152.4, 'on_ground': False, 'velocity': 79.18, 'heading': 40.52, 'vertical_rate': 2.6, 'sensors': None, 'geo_altitude': 129.54, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052589.274691 - {'icao24': 'aa3f2e', 'callsign': 'FLC76   ', 'origin_country': 'United States', 'time_position': 1746052582, 'last_contact': 1746052582, 'longitude': -117.1889, 'latitude': 32.6777, 'baro_altitude': 152.4, 'on_ground': False, 'velocity': 79.18, 'heading': 40.52, 'vertical_rate': 2.6, 'sensors': None, 'geo_altitude': 129.54, 'squawk': '4757', 'spi': False, 'position_source': 0}
1746052594.775851 - {'icao24': 'aa7a3c', 'callsign': 'SWA5487 ', 'origin_country': 'United States', 'time_position': 1746052575, 'last_contact': 1746052592, 'longitude': -117.1885, 'latitude': 32.7333, 'baro_altitude': -7.62, 'on_ground': False, 'velocity': 72.58, 'heading': 286.89, 'vertical_rate': 15.28, 'sensors': None, 'geo_altitude': -30.48, 'squawk': None, 'spi': False, 'position_source': 0}
